personIdExternal;positionEntryDate;managerId;emplStatus;employeeStatus;emplClass;employeeClass;emplmType;employmentType;division;location;company;jobTitle;event;eventReason;position;businessUnit;startDate;endDate;userId
"109031";"null";"109030";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Russia";"Compensation Manager";"Pay Rate Change";"PAYOTH";"3000296";"CORP";"2017-01-01";"2050-04-20";"109031"
"109032";"null";"109030";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Russia";"Development Manager";"Pay Rate Change";"PAYOTH";"3000297";"CORP";"2017-01-01";"2050-04-20";"109032"
"109033";"null";"109009";"4595";"Active";"4662";"Active";"3638";"Management";"null";"null";"BestRun Russia";"Building Manager";"Pay Rate Change";"PAYOTH";"3000298";"PRODS";"2017-01-01";"2050-04-20";"109033"
"109034";"null";"109033";"4595";"Active";"4662";"Active";"3629";"Hourly rate/staff";"null";"null";"BestRun Russia";"Custodian";"Pay Rate Change";"PAYOTH";"3000299";"PRODS";"2017-01-01";"2050-04-20";"109034"
"109035";"null";"109013";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Russia";"Planning & Scheduling Manager";"Pay Rate Change";"PAYOTH";"3000300";"PRODS";"2017-01-01";"2050-04-20";"109035"
"109036";"null";"109001";"4595";"Active";"4662";"Active";"3638";"Management";"null";"null";"BestRun Russia";"Vice President Finance";"Pay Rate Change";"PAYOTH";"3000229";"CORP";"2017-01-01";"2050-04-20";"109036"
"103074";"null";"103045";"4598";"Retired";"4662";"Active";"3628";"Hourly rate/labor";"null";"null";"BestRun Germany";"Assembly Worker";"Termination";"TERERLRT";"50025053";"PRODS";"2016-10-13";"2050-04-20";"103074"
"103075";"null";"103010";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Germany";"Project Execution Lead";"Pay Rate Change";"PAYOTH";"50000413";"PRODS";"2017-01-01";"2050-04-20";"103075"
"103076";"null";"103045";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Germany";"Assembly Worker";"Pay Rate Change";"PAYOTH";"50025053";"PRODS";"2017-01-01";"2050-04-20";"103076"
"103077";"null";"103010";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Germany";"Project Manager";"Pay Rate Change";"PAYOTH";"5000414";"PRODS";"2017-01-01";"2050-04-20";"103077"
"101048";"null";"101037";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun UK";"Program Management Office";"Pay Rate Change";"PAYOTH";"50000325";"PRODS";"2017-01-01";"2050-04-20";"101048"
"101049";"null";"101011";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun UK";"Planner";"Pay Rate Change";"PAYOTH";"50022041";"PRODS";"2017-01-01";"2050-04-20";"101049"
"101050";"null";"101032";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun UK";"HR Business Office Director UK";"Pay Rate Change";"PAYOTH";"50022009";"CORP";"2017-01-01";"2050-04-20";"101050"
"101051";"null";"101032";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun UK";"External Workforce Director";"Pay Rate Change";"PAYOTH";"50022010";"CORP";"2017-01-01";"2050-04-20";"101051"
"101052";"null";"101032";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun UK";"Learning Director";"Pay Rate Change";"PAYOTH";"50022055";"CORP";"2017-01-01";"2050-04-20";"101052"
"101053";"null";"101052";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun UK";"Learning Business Partner";"Pay Rate Change";"PAYOTH";"50022008";"CORP";"2017-01-01";"2050-04-20";"101053"
"101055";"null";"101052";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun UK";"Payroll Admin";"Pay Rate Change";"PAYOTH";"50022027";"CORP";"2017-01-01";"2050-04-20";"101055"
"108725";"null";"100135";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"VP Finance";"Data Change";"DATACHG";"500300204";"CORP";"2017-03-13";"2050-04-20";"108725"
"108727";"null";"100135";"4595";"Active";"4662";"Active";"3631";"Salaried staff";"null";"null";"BestRun Company";"VP Information Technology";"Pay Rate Change";"PAYOTH";"500300206";"CORP";"2017-01-01";"2050-04-20";"108727"
